policy,entry_utc,exit_utc,entry_index,exit_index,level,support,entry,exit,initial_stop,risk_price,risk_pct,net_pct,net_r,cost_r,reason,score_signal_utc,hold_minutes
price_trail,2026-09-08T21:42:01.668278+00:00,2026-09-08T23:11:34.661421+00:00,1160,1247,prior_1h,2480.48,2481.7,2483.69,2476.917857142857,4.782142857142844,0.19269625084187633,-0.039813031389770326,-0.2066103061986067,0.6227417475728171,stop,,89.54988571405411
price_trail,2026-09-09T02:19:08.116315+00:00,2026-09-09T03:14:48.585377+00:00,1429,1483,prior_1h,2488.62,2493.31,2486.24,2486.257857142857,7.052142857142826,0.2828426010862198,-0.40355880335779737,-1.426796394206451,0.42426423579459316,stop,,55.67448436419169
price_trail,2026-09-09T09:56:08.758884+00:00,2026-09-09T10:08:35.049038+00:00,1871,1883,prior_4h,2490.43,2489.97,2490.31,2487.407142857143,2.5628571428569558,0.10292722976007566,-0.10634521701064148,-1.0332078037904309,1.1658722408027604,stop,,12.438169233004253
price_trail,2026-09-09T14:20:53.008575+00:00,2026-09-09T14:37:32.981236+00:00,2126,2142,prior_1h,2496.55,2495.65,2508.9,2492.9814285714288,2.66857142857134,0.10692891345226055,0.4109238074249212,3.8429625267667227,1.122240899357639,stop,,16.666211009025574
price_trail,2026-09-09T18:32:47.142029+00:00,2026-09-09T18:54:43.726063+00:00,2367,2388,prior_1h,2487.96,2488.66,2483.08,2483.8996428571427,4.760357142857174,0.1912819405968342,-0.3442170485321382,-1.7995271663290298,0.627346207517439,stop,,21.94306724468867
price_trail,2026-09-10T00:51:38.054215+00:00,2026-09-10T01:10:30.846324+00:00,2729,2747,prior_1h,2462.68,2463.29,2472.24,2459.127857142857,4.162142857142953,0.16896682311635874,0.24333521428657534,1.4401360562896088,0.7101985927578349,stop,,18.87986848751704
price_trail,2026-09-10T05:06:29.969100+00:00,2026-09-10T06:05:13.267162+00:00,2972,3028,prior_1h,2472.33,2473.75,2478.9,2469.7164285714284,4.033571428571577,0.16305493394933104,0.08818595250127192,0.5408358420400239,0.7359482911280055,stop,,58.72163436015447
price_trail,2026-09-10T09:40:13.449575+00:00,2026-09-10T11:02:53.319090+00:00,3233,3312,prior_4h,2463.71,2465.48,2460.88,2461.0882142857145,4.391785714285561,0.17813106227937608,-0.30657624478802814,-1.7210712206229555,0.6736612832398381,stop,,82.66449191172917
price_trail,2026-09-10T15:47:53.078712+00:00,2026-09-10T16:09:56.387270+00:00,3583,3604,prior_1h,2432.54,2434.22,2433.1,2426.989285714286,7.23071428571393,0.29704440378083863,-0.16601063174239916,-0.5588747999604984,0.4039800059271165,stop,,22.055142629146577
price_trail,2026-09-10T19:53:59.204079+00:00,2026-09-10T20:31:49.345051+00:00,3817,3853,prior_1h,2459.31,2459.46,2463.64,2455.582142857143,3.8778571428570103,0.15767107994669605,0.049956006603078085,0.316836839196874,0.7610780622582688,stop,,37.835682861010234
price_trail,2026-09-10T23:56:34.852035+00:00,2026-09-11T00:32:29.011702+00:00,4048,4082,prior_1h,2434.65,2437.05,2445.49,2432.1653571428574,4.884642857142808,0.2004326073384956,0.22632034632033904,1.129159318563942,0.598704979162103,stop,,35.90266112089157
price_trail,2026-09-11T07:57:11.106960+00:00,2026-09-11T08:37:05.255582+00:00,4505,4543,prior_1h,2464.44,2467.0,2477.06,2462.107857142857,4.8921428571429715,0.19830331808443338,0.28778273206323324,1.451224996349787,0.6051335961454085,stop,,39.90247703790665
price_trail,2026-09-11T12:09:15.412881+00:00,2026-09-11T12:13:28.096381+00:00,4745,4749,prior_1h,2451.87,2450.5,2450.04,2449.2707142857143,1.229285714285652,0.05016468942198131,-0.13877167924912992,-2.766321905868851,2.392120859965258,stop,,4.211391675472259
price_trail,2026-09-12T04:21:13.182019+00:00,2026-09-12T04:46:53.048744+00:00,5651,5675,prior_1h,2508.73,2509.69,2510.99,2507.187142857143,2.5028571428570103,0.0997277409902024,-0.06820077380075495,-0.6838696347033416,1.203276027397324,stop,,25.664445424079894
price_trail,2026-09-12T11:16:59.291802+00:00,2026-09-12T12:10:14.707519+00:00,6040,6090,prior_1h,2530.1,2530.39,2532.74,2528.3399999999997,2.050000000000182,0.08101517947826943,-0.027128940598100004,-0.3348624390244046,1.4812039024388928,stop,,53.25692860285441
price_trail,2026-09-12T15:39:31.400810+00:00,2026-09-12T17:22:29.126954+00:00,6290,6390,prior_4h,2530.74,2534.09,2527.0,2528.9746428571425,5.115357142857647,0.20186169957884867,-0.39978485373447714,-1.9804888919917343,0.5944664106680975,stop,,102.96210239728292
price_trail,2026-09-12T19:53:59.033029+00:00,2026-09-12T20:53:09.696484+00:00,6538,6596,prior_1h,2515.75,2516.45,2519.32,2514.0782142857142,2.371785714285579,0.09425125531147369,-0.005950446064875048,-0.06313386538157739,1.2731925914772595,stop,,59.177724250157674
price_trail,2026-09-13T10:44:53.932740+00:00,2026-09-13T12:35:02.812398+00:00,7414,7522,prior_1h,2472.74,2473.81,2477.82,2469.4421428571427,4.367857142857247,0.17656396986257017,0.04209814011585167,0.23842995911696996,0.6796403597710385,stop,,110.14799429972966
price_trail,2026-09-13T15:30:43.974848+00:00,2026-09-13T17:30:25.710124+00:00,7694,7811,prior_1h,2483.99,2487.03,2503.96,2481.278571428571,5.751428571429187,0.2312569036734252,0.5607316357261506,2.4247130650767112,0.5189034277197656,stop,,119.69558793703715
price_trail,2026-09-13T19:32:14.921750+00:00,2026-09-13T19:33:16.331759+00:00,7930,7931,prior_1h,2505.25,2505.05,2502.9,2503.2132142857145,1.8367857142857247,0.07332331547417116,-0.20582663020698655,-2.8071102469376186,1.6365872059109376,stop,,1.0235001524289449
price_trail,2026-09-16T08:28:20.678288+00:00,2026-09-16T09:07:54.319456+00:00,8510,8547,prior_1h,2384.58,2386.21,2400.4,2381.8107142857143,4.399285714285725,0.18436288986659702,0.47466685664715247,2.57463341451535,0.6508902094495843,stop,,39.560686127344766
price_trail,2026-09-16T14:00:12.988675+00:00,2026-09-16T14:03:25.784303+00:00,8820,8823,prior_1h,2390.78,2392.18,2386.63,2387.0410714285717,5.138928571428096,0.21482198544541367,-0.35200595272929724,-1.6385937035236235,0.558602043227517,stop,,3.2132604757944745
price_trail,2026-09-17T21:53:58.170347+00:00,2026-09-17T22:08:43.739541+00:00,10602,10616,prior_1h,2446.92,2447.53,2443.54,2444.2235714285716,3.306428571428569,0.13509246348067516,-0.2830214951400033,-2.095020609202925,0.888280492546987,stop,,14.759486552079519
price_trail,2026-09-18T04:32:41.787576+00:00,2026-09-18T05:14:52.515547+00:00,10981,11021,prior_1h,2469.09,2469.53,2487.25,2465.5553571428572,3.9746428571429533,0.16094734047138334,0.5975454438698825,3.712676718483102,0.7455854793781831,stop,,42.17879951794942
price_trail,2026-09-18T12:12:41.606386+00:00,2026-09-18T12:50:57.625384+00:00,11415,11451,prior_1h,2498.8,2501.08,2500.95,2494.823928571429,6.256071428570976,0.2501347989097101,-0.1251977545700299,-0.5005211394645737,0.4797413255694814,stop,,38.26698330640793
price_trail,2026-09-19T11:12:42.950188+00:00,2026-09-19T13:28:37.736966+00:00,12695,12822,prior_1h,2637.97,2638.5,2633.18,2633.730714285714,4.76928571428607,0.18075746500989465,-0.3216297138525691,-1.7793440167739019,0.6638729968548254,stop,,135.91311296224595
price_trail,2026-09-19T15:30:24.059253+00:00,2026-09-19T15:46:09.636394+00:00,12937,12952,prior_1h,2636.23,2636.72,2645.03,2633.727142857143,2.992857142856792,0.11350682449622229,0.1951642950332434,1.719405823389357,1.0572051551313886,stop,,15.759619001547495
price_trail,2026-09-19T19:58:50.673825+00:00,2026-09-19T20:04:01.576124+00:00,13194,13199,prior_1h,2632.28,2631.6,2632.84,2629.249285714286,2.3507142857138206,0.08932642824569922,-0.07288037695697624,-0.8158881798845941,1.3433874202372755,stop,,5.181704990069071
price_trail,2026-09-20T00:01:29.431894+00:00,2026-09-20T01:03:42.639336+00:00,13428,13488,prior_1h,2627.92,2628.14,2624.11,2624.6603571428573,3.4796428571426077,0.13239944817028804,-0.2733403852153947,-2.064513024735782,0.9063481884430495,stop,,62.22012402613958
price_trail,2026-09-20T04:44:57.598944+00:00,2026-09-20T06:11:24.054878+00:00,13701,13784,prior_1h,2578.82,2579.79,2573.54,2573.67,6.119999999999891,0.23722861163117506,-0.36226778148609406,-1.5270830065359746,0.5058411764705971,stop,,86.44093223412831
price_trail,2026-09-20T08:48:43.038332+00:00,2026-09-20T09:51:10.565844+00:00,13935,13995,prior_1h,2570.66,2571.08,2581.42,2567.885714285714,3.1942857142857974,0.12423906351750227,0.2821656268961005,2.2711506261180547,0.9658797853309229,stop,,62.45879186789195
price_trail,2026-09-20T14:24:59.366795+00:00,2026-09-20T15:03:30.887677+00:00,14258,14295,prior_1h,2575.9,2577.63,2598.09,2573.5582142857143,4.071785714285852,0.15796626025790558,0.6737524004608898,4.265166494167043,0.7596558898341994,stop,,38.52534804741541
price_trail,2026-09-20T18:52:29.744630+00:00,2026-09-20T20:13:06.837581+00:00,14514,14591,prior_1h,2621.7,2621.47,2631.41,2615.0775,6.392499999999927,0.24385173204346905,0.2591765688716753,1.062844896362946,0.49210230739147987,stop,,80.61821584701538
price_trail,2026-09-21T01:28:15.505287+00:00,2026-09-21T01:32:30.121692+00:00,14891,14895,prior_1h,2673.49,2672.77,2674.72,2667.388571428571,5.381428571428842,0.20134274821360768,-0.04704198266217918,-0.23364130607913003,0.5959986195911566,stop,,4.243606742223104
price_trail,2026-09-21T06:38:49.192281+00:00,2026-09-21T06:40:56.384083+00:00,15184,15186,prior_1h,2662.76,2661.62,2657.8,2658.486428571429,3.133571428571031,0.11773173588156954,-0.2635216146557283,-2.238322680647558,1.0192663779349367,stop,,2.1198633790016173
score_trail,2026-09-08T17:40:39.338651+00:00,2026-09-08T17:52:56.673385+00:00,925,937,prior_1h,2489.25,2488.87,2490.87,2485.175,3.694999999999709,0.1484609481411126,-0.03964224728491217,-0.26702138024359334,0.8082933694181962,score,2026-09-08T17:51:55.223810+00:00,12.288912236690521
score_trail,2026-09-08T21:42:01.668278+00:00,2026-09-08T21:52:18.740802+00:00,1160,1170,prior_1h,2480.48,2481.7,2478.5,2476.917857142857,4.782142857142844,0.19269625084187633,-0.24894386912196687,-1.2918978342045957,0.6227417475728171,score,2026-09-08T21:51:16.958191+00:00,10.284542071819306
score_trail,2026-09-09T02:19:08.116315+00:00,2026-09-09T02:22:13.894429+00:00,1429,1432,prior_1h,2488.62,2493.31,2490.38,2486.257857142857,7.052142857142826,0.2828426010862198,-0.23751446871828275,-0.8397407880076782,0.42426423579459316,score,2026-09-09T02:21:12.018411+00:00,3.0963018933931985
score_trail,2026-09-09T09:56:08.758884+00:00,2026-09-09T09:59:15.383863+00:00,1871,1874,prior_4h,2490.43,2489.97,2489.53,2487.407142857143,2.5628571428569558,0.10292722976007566,-0.1376708956332594,-1.3375556298773101,1.1658722408027604,score,2026-09-09T09:58:13.194609+00:00,3.110416313012441
score_trail,2026-09-09T14:20:53.008575+00:00,2026-09-09T14:37:32.981236+00:00,2126,2142,prior_1h,2496.55,2495.65,2508.9,2492.9814285714288,2.66857142857134,0.10692891345226055,0.4109238074249212,3.8429625267667227,1.122240899357639,stop,,16.666211009025574
score_trail,2026-09-09T18:32:47.142029+00:00,2026-09-09T18:39:03.484696+00:00,2367,2373,prior_1h,2487.96,2488.66,2488.05,2483.8996428571427,4.760357142857174,0.1912819405968342,-0.144511182724829,-0.7554878535523307,0.627346207517439,score,2026-09-09T18:38:00.813257+00:00,6.272377789020538
score_trail,2026-09-10T00:51:38.054215+00:00,2026-09-10T01:10:30.846324+00:00,2729,2747,prior_1h,2462.68,2463.29,2472.24,2459.127857142857,4.162142857142953,0.16896682311635874,0.24333521428657534,1.4401360562896088,0.7101985927578349,stop,,18.87986848751704
score_trail,2026-09-10T05:06:29.969100+00:00,2026-09-10T05:09:38.833980+00:00,2972,2975,prior_1h,2472.33,2473.75,2474.99,2469.7164285714284,4.033571428571577,0.16305493394933104,-0.06987367357253127,-0.42852842217110265,0.7359482911280055,score,2026-09-10T05:08:35.833728+00:00,3.1477479855219523
score_trail,2026-09-10T09:40:13.449575+00:00,2026-09-10T09:43:21.912680+00:00,3233,3236,prior_4h,2463.71,2465.48,2465.22,2461.0882142857145,4.391785714285561,0.17813106227937608,-0.13054561383585506,-0.7328627144832826,0.6736612832398381,score,2026-09-10T09:42:19.209737+00:00,3.14105175336202
score_trail,2026-09-10T15:47:53.078712+00:00,2026-09-10T16:09:56.387270+00:00,3583,3604,prior_1h,2432.54,2434.22,2433.1,2426.989285714286,7.23071428571393,0.29704440378083863,-0.16601063174239916,-0.5588747999604984,0.4039800059271165,stop,,22.055142629146577
score_trail,2026-09-10T19:53:59.204079+00:00,2026-09-10T20:26:33.933890+00:00,3817,3848,prior_1h,2459.31,2459.46,2465.94,2455.582142857143,3.8778571428570103,0.15767107994669605,0.14347246956648363,0.9099479093756114,0.7610780622582688,score,2026-09-10T20:25:30.844421+00:00,32.57883019049962
score_trail,2026-09-10T23:56:34.852035+00:00,2026-09-11T00:32:29.011702+00:00,4048,4082,prior_1h,2434.65,2437.05,2445.49,2432.1653571428574,4.884642857142808,0.2004326073384956,0.22632034632033904,1.129159318563942,0.598704979162103,stop,2026-09-11T00:31:25.824365+00:00,35.90266112089157
score_trail,2026-09-11T07:57:11.106960+00:00,2026-09-11T08:37:05.255582+00:00,4505,4543,prior_1h,2464.44,2467.0,2477.06,2462.107857142857,4.8921428571429715,0.19830331808443338,0.28778273206323324,1.451224996349787,0.6051335961454085,stop,,39.90247703790665
score_trail,2026-09-11T12:09:15.412881+00:00,2026-09-11T12:13:28.096381+00:00,4745,4749,prior_1h,2451.87,2450.5,2450.04,2449.2707142857143,1.229285714285652,0.05016468942198131,-0.13877167924912992,-2.766321905868851,2.392120859965258,stop,,4.211391675472259
score_trail,2026-09-12T04:21:13.182019+00:00,2026-09-12T04:24:25.739661+00:00,5651,5654,prior_1h,2508.73,2509.69,2509.72,2507.187142857143,2.5028571428570103,0.0997277409902024,-0.11880463324155588,-1.1912897260275621,1.203276027397324,score,2026-09-12T04:23:21.675840+00:00,3.2092940330505373
score_trail,2026-09-12T11:16:59.291802+00:00,2026-09-12T11:42:33.538158+00:00,6040,6064,prior_1h,2530.1,2530.39,2534.2,2528.3399999999997,2.050000000000182,0.08101517947826943,0.030569675030332033,0.37733268292676936,1.4812039024388928,score,2026-09-12T11:41:29.675012+00:00,25.57077260017395
score_trail,2026-09-12T15:39:31.400810+00:00,2026-09-12T16:34:11.473983+00:00,6290,6343,prior_4h,2530.74,2534.09,2531.99,2528.9746428571425,5.115357142857647,0.20186169957884867,-0.20286998488610253,-1.004994931229463,0.5944664106680975,score,2026-09-12T16:33:09.820742+00:00,54.66788620948792
score_trail,2026-09-12T19:53:59.033029+00:00,2026-09-12T20:20:31.549381+00:00,6538,6564,prior_1h,2515.75,2516.45,2520.52,2514.0782142857142,2.371785714285579,0.09425125531147369,0.041735778576965754,0.44281403403111397,1.2731925914772595,score,2026-09-12T20:19:30.402953+00:00,26.541939187049866
score_trail,2026-09-13T10:44:53.932740+00:00,2026-09-13T10:53:03.472667+00:00,7414,7422,prior_1h,2472.74,2473.81,2473.7,2469.4421428571427,4.367857142857247,0.17656396986257017,-0.12444658239719952,-0.7048243336058995,0.6796403597710385,score,2026-09-13T10:52:02.339892+00:00,8.158998771508534
score_trail,2026-09-13T15:30:43.974848+00:00,2026-09-13T15:55:16.263353+00:00,7694,7718,prior_1h,2483.99,2487.03,2489.93,2481.278571428571,5.751428571429187,0.2312569036734252,-0.003395053537760151,-0.014680874317001602,0.5189034277197656,score,2026-09-13T15:54:14.917532+00:00,24.53814175526301
score_trail,2026-09-13T19:32:14.921750+00:00,2026-09-13T19:33:16.331759+00:00,7930,7931,prior_1h,2505.25,2505.05,2502.9,2503.2132142857145,1.8367857142857247,0.07332331547417116,-0.20582663020698655,-2.8071102469376186,1.6365872059109376,stop,,1.0235001524289449
score_trail,2026-09-16T08:28:20.678288+00:00,2026-09-16T09:07:54.319456+00:00,8510,8547,prior_1h,2384.58,2386.21,2400.4,2381.8107142857143,4.399285714285725,0.18436288986659702,0.47466685664715247,2.57463341451535,0.6508902094495843,stop,,39.560686127344766
score_trail,2026-09-16T14:00:12.988675+00:00,2026-09-16T14:03:25.784303+00:00,8820,8823,prior_1h,2390.78,2392.18,2386.63,2387.0410714285717,5.138928571428096,0.21482198544541367,-0.35200595272929724,-1.6385937035236235,0.558602043227517,stop,,3.2132604757944745
score_trail,2026-09-17T21:53:58.170347+00:00,2026-09-17T21:57:08.026590+00:00,10602,10605,prior_1h,2446.92,2447.53,2446.69,2444.2235714285716,3.306428571428569,0.13509246348067516,-0.1543203147663229,-1.1423310434219502,0.888280492546987,score,2026-09-17T21:56:04.663434+00:00,3.1642707029978436
score_trail,2026-09-18T04:32:41.787576+00:00,2026-09-18T05:14:52.515547+00:00,10981,11021,prior_1h,2469.09,2469.53,2487.25,2465.5553571428572,3.9746428571429533,0.16094734047138334,0.5975454438698825,3.712676718483102,0.7455854793781831,stop,,42.17879951794942
