event_id,symbol,side,threshold,horizon,day,net,quality,beta_samples,beta,btc_directional_gross,residual_after_signal_cost
SOLUSDT:short:50:1788544247.371951,SOLUSDT,short,50,30,2026-09-04,-0.3870094936708889,True,96,1.188751532835726,-0.1819223336417819,-0.17074904069716826
SOLUSDT:short:50:1788584770.719769,SOLUSDT,short,50,30,2026-09-05,-0.33668472372697866,True,96,1.2674821247528092,-0.14427543767328022,-0.15381818543520795
SOLUSDT:short:50:1788607728.908797,SOLUSDT,short,50,30,2026-09-05,-0.14933985330073607,True,96,1.26650271766031,0.014198994510139507,-0.16732291843587158
SOLUSDT:short:50:1788647148.882851,SOLUSDT,short,50,30,2026-09-05,-0.042630560928415995,True,96,1.5278411588233727,0.047868234539305554,-0.11576561985777759
SOLUSDT:short:50:1788704520.391703,SOLUSDT,short,50,30,2026-09-06,-0.39407617427464003,True,96,2.5267146634563638,-0.0825288756853837,-0.18554925392181368
SOLUSDT:short:50:1788429331.976012,SOLUSDT,short,50,60,2026-09-03,-0.2897453819270889,True,24,,-0.16121715732011488,
SOLUSDT:short:50:1788477611.751687,SOLUSDT,short,50,60,2026-09-03,0.0627977679430437,True,78,1.3135353446622082,0.023897276203255213,0.03140785100891288
SOLUSDT:short:50:1788501265.112018,SOLUSDT,short,50,60,2026-09-04,-0.24573749879098983,True,96,1.2988999625983728,0.12124316306092453,-0.4032202387561331
SOLUSDT:short:50:1788525454.315506,SOLUSDT,short,50,60,2026-09-04,-0.41667721518986667,True,96,1.2586479813873492,0.29477584700856596,-0.7876962399889442
SOLUSDT:short:50:1788544247.371951,SOLUSDT,short,50,60,2026-09-04,-0.5056803797468444,True,96,1.188751532835726,-0.15271404201209204,-0.32414132821943054
SOLUSDT:short:50:1788584770.719769,SOLUSDT,short,50,60,2026-09-05,-0.4351777799665023,True,96,1.2674821247528092,-0.19375209300100948,-0.18960046545427892
SOLUSDT:short:50:1788607728.908797,SOLUSDT,short,50,60,2026-09-05,-0.19823960880195546,True,96,1.26650271766031,-0.03267025285518255,-0.15686264477421724
SOLUSDT:short:50:1788647148.882851,SOLUSDT,short,50,60,2026-09-05,0.14112185686655299,True,96,1.5278411588233727,0.08082463685302743,0.017634650035545277
SOLUSDT:short:50:1788704520.391703,SOLUSDT,short,50,60,2026-09-06,-0.17670541536717532,True,96,2.5267146634563638,-0.030524378678165043,-0.09957902016816093
SOLUSDT:short:50:1788429331.976012,SOLUSDT,short,50,240,2026-09-03,-1.3082176734897555,True,24,,-1.4564958529431404,
SOLUSDT:short:50:1788477611.751687,SOLUSDT,short,50,240,2026-09-03,0.01469309216855852,True,78,1.3135353446622082,0.38161732823525085,-0.48657475660400273
SOLUSDT:short:50:1788501265.112018,SOLUSDT,short,50,240,2026-09-04,-0.9227855692039898,True,96,1.2988999625983728,-0.30013868733242965,-0.5329354394535721
SOLUSDT:short:50:1788525454.315506,SOLUSDT,short,50,240,2026-09-04,-0.8518037974683556,True,96,1.2586479813873492,-0.3020760174297754,-0.471596427904839
SOLUSDT:short:50:1788544247.371951,SOLUSDT,short,50,240,2026-09-04,-0.7034651898734,False,96,1.188751532835726,-0.35100309079121317,-0.2862097276652678
SOLUSDT:short:50:1788584770.719769,SOLUSDT,short,50,240,2026-09-05,-1.2428208411307118,True,96,1.2674821247528092,-0.2937125620346759,-0.8705454189364095
SOLUSDT:short:50:1788607728.908797,SOLUSDT,short,50,240,2026-09-05,-0.5111980440097773,True,96,1.26650271766031,-0.08343479959940225,-0.405527643569691
SOLUSDT:short:50:1788647148.882851,SOLUSDT,short,50,240,2026-09-05,-0.7292843326885866,True,96,1.5278411588233727,-0.08596232694757511,-0.5979475514698498
SOLUSDT:short:50:1788704520.391703,SOLUSDT,short,50,240,2026-09-06,-0.5641924203761438,True,96,2.5267146634563638,-0.31579542385549164,0.23373250773194454
SOLUSDT:short:60:1788477860.029869,SOLUSDT,short,60,15,2026-09-03,-0.41862248338310415,True,78,1.3135353446622082,-0.17042744880091387,-0.1947600056824949
SOLUSDT:short:60:1788525454.315506,SOLUSDT,short,60,15,2026-09-04,-0.6144620253164667,True,96,1.2586479813873492,-0.0786656295389987,-0.5154496894926409
SOLUSDT:short:60:1788607728.908797,SOLUSDT,short,60,15,2026-09-05,-0.10044009779951668,True,96,1.26650271766031,-0.0038952993788754497,-0.09550669055007041
SOLUSDT:short:60:1788647209.958530,SOLUSDT,short,60,15,2026-09-05,-0.03292569659442346,True,96,1.5278411588233727,0.03259158234639736,-0.08272045753443058
SOLUSDT:short:60:1788477860.029869,SOLUSDT,short,60,30,2026-09-03,-0.12,True,78,1.3135353446622082,-0.10104881273806932,0.012731187067606814
SOLUSDT:short:60:1788525454.315506,SOLUSDT,short,60,30,2026-09-04,-0.33756329113924444,True,96,1.2586479813873492,0.2938947919577273,-0.7074733777770928
SOLUSDT:short:60:1788607728.908797,SOLUSDT,short,60,30,2026-09-05,-0.14933985330073607,True,96,1.26650271766031,0.014198994510139507,-0.16732291843587158
SOLUSDT:short:60:1788647209.958530,SOLUSDT,short,60,30,2026-09-05,-0.061950464396278604,True,96,1.5278411588233727,0.03234087786680995,-0.11136218871367068
SOLUSDT:short:60:1788477860.029869,SOLUSDT,short,60,60,2026-09-03,-0.13926596666987912,True,78,1.3135353446622082,-0.14726016002681863,0.05416545838596004
SOLUSDT:short:60:1788525454.315506,SOLUSDT,short,60,60,2026-09-04,-0.41667721518986667,True,96,1.2586479813873492,0.29477584700856596,-0.7876962399889442
SOLUSDT:short:60:1788607728.908797,SOLUSDT,short,60,60,2026-09-05,-0.19823960880195546,True,96,1.26650271766031,-0.03267025285518255,-0.15686264477421724
SOLUSDT:short:60:1788647209.958530,SOLUSDT,short,60,60,2026-09-05,0.0928482972136192,True,96,1.5278411588233727,0.04612962424412892,0.02236955865238252
SOLUSDT:short:60:1788477860.029869,SOLUSDT,short,60,240,2026-09-03,-0.19706386667951648,True,78,1.3135353446622082,0.31916637194095987,-0.6163001770515717
SOLUSDT:short:60:1788525454.315506,SOLUSDT,short,60,240,2026-09-04,-0.8518037974683556,True,96,1.2586479813873492,-0.3020760174297754,-0.471596427904839
SOLUSDT:short:60:1788607728.908797,SOLUSDT,short,60,240,2026-09-05,-0.5111980440097773,True,96,1.26650271766031,-0.08343479959940225,-0.405527643569691
SOLUSDT:short:60:1788647209.958530,SOLUSDT,short,60,240,2026-09-05,-0.7004953560371473,True,96,1.5278411588233727,-0.11820716212558313,-0.519893588473974
SOLUSDT:short:70:1788477860.029869,SOLUSDT,short,70,15,2026-09-03,-0.41862248338310415,True,78,1.3135353446622082,-0.17042744880091387,-0.1947600056824949
SOLUSDT:short:70:1788533355.598924,SOLUSDT,short,70,15,2026-09-04,-0.48819584038212394,True,96,1.3175405614993427,-0.27558285138082894,-0.12510425563423666
SOLUSDT:short:70:1788650017.418206,SOLUSDT,short,70,15,2026-09-05,-0.17817335660267541,True,96,1.6163343582654004,-0.07652702784077814,-0.05448009216769285
SOLUSDT:short:70:1788477860.029869,SOLUSDT,short,70,30,2026-09-03,-0.12,True,78,1.3135353446622082,-0.10104881273806932,0.012731187067606814
SOLUSDT:short:70:1788533355.598924,SOLUSDT,short,70,30,2026-09-04,-0.7966842471887857,True,96,1.3175405614993427,-0.5916776518817279,-0.01712494150192123
SOLUSDT:short:70:1788650017.418206,SOLUSDT,short,70,30,2026-09-05,-0.09091332169866229,True,96,1.6163343582654004,-0.08079246873684554,0.03967432140978436
SOLUSDT:short:70:1788477860.029869,SOLUSDT,short,70,60,2026-09-03,-0.13926596666987912,True,78,1.3135353446622082,-0.14726016002681863,0.05416545838596004
SOLUSDT:short:70:1788533355.598924,SOLUSDT,short,70,60,2026-09-04,-0.9957090257737188,True,96,1.3175405614993427,-0.8090960120494595,0.07030778824880513
