symbol,side,threshold,variant,horizon,recorded,missing_exits,gap_qualified_n,gap_qualified_mean,n,mean,median,win_rate,pf
ETHUSDT,long,70,full,15,4,0,4,0.19577108601876514,4,0.19577108601876514,0.15242615980763718,0.5,4.4131769478455025
ETHUSDT,long,70,full,30,4,0,4,0.2637211645669219,4,0.2637211645669219,0.019468477875809298,0.5,2.8163481220253272
ETHUSDT,long,70,full,60,4,0,4,0.18265649155284955,4,0.18265649155284955,-0.05398970304394057,0.5,1.8980555841631288
ETHUSDT,long,70,full,240,4,0,3,0.7229307849210734,4,0.6400361538011246,0.3763427647448504,1.0,
ETHUSDT,long,70,no_delta,15,0,0,0,,0,,,,
ETHUSDT,long,70,no_delta,30,0,0,0,,0,,,,
ETHUSDT,long,70,no_delta,60,0,0,0,,0,,,,
ETHUSDT,long,70,no_delta,240,0,0,0,,0,,,,
ETHUSDT,long,70,no_oi,15,3,0,3,0.2556782464970095,3,0.2556782464970095,0.34088485086310805,0.6666666666666666,10.822337071712848
ETHUSDT,long,70,no_oi,30,3,0,3,0.05570873167138679,3,0.05570873167138679,0.21156525260300552,0.6666666666666666,1.5715158437262462
ETHUSDT,long,70,no_oi,60,3,0,3,-0.059173081983638055,3,-0.059173081983638055,-0.10676946392273112,0.3333333333333333,0.5923941271581543
ETHUSDT,long,70,no_oi,240,3,1,2,0.412373865803748,2,0.412373865803748,0.412373865803748,1.0,
ETHUSDT,long,70,no_delta_oi,15,0,0,0,,0,,,,
ETHUSDT,long,70,no_delta_oi,30,0,0,0,,0,,,,
ETHUSDT,long,70,no_delta_oi,60,0,0,0,,0,,,,
ETHUSDT,long,70,no_delta_oi,240,0,0,0,,0,,,,
ETHUSDT,long,80,full,15,3,0,3,0.2203479884731997,3,0.2203479884731997,0.3406910365548389,0.6666666666666666,9.465062028196362
ETHUSDT,long,80,full,30,3,0,3,-0.018221668052208,3,-0.018221668052208,0.11635453179771116,0.6666666666666666,0.8130639187338368
ETHUSDT,long,80,full,60,3,0,3,-0.17242015893137294,3,-0.17242015893137294,-0.32874743555970853,0.3333333333333333,0.2532835536589195
ETHUSDT,long,80,full,240,3,1,2,0.4389378703685477,2,0.4389378703685477,0.4389378703685477,1.0,
ETHUSDT,long,80,no_delta,15,0,0,0,,0,,,,
ETHUSDT,long,80,no_delta,30,0,0,0,,0,,,,
ETHUSDT,long,80,no_delta,60,0,0,0,,0,,,,
ETHUSDT,long,80,no_delta,240,0,0,0,,0,,,,
ETHUSDT,long,80,no_oi,15,3,0,3,0.2203479884731997,3,0.2203479884731997,0.3406910365548389,0.6666666666666666,9.465062028196362
ETHUSDT,long,80,no_oi,30,3,0,3,-0.018221668052208,3,-0.018221668052208,0.11635453179771116,0.6666666666666666,0.8130639187338368
ETHUSDT,long,80,no_oi,60,3,0,3,-0.17242015893137294,3,-0.17242015893137294,-0.32874743555970853,0.3333333333333333,0.2532835536589195
ETHUSDT,long,80,no_oi,240,3,1,2,0.4389378703685477,2,0.4389378703685477,0.4389378703685477,1.0,
ETHUSDT,long,80,no_delta_oi,15,0,0,0,,0,,,,
ETHUSDT,long,80,no_delta_oi,30,0,0,0,,0,,,,
ETHUSDT,long,80,no_delta_oi,60,0,0,0,,0,,,,
ETHUSDT,long,80,no_delta_oi,240,0,0,0,,0,,,,
ETHUSDT,long,90,full,15,0,0,0,,0,,,,
ETHUSDT,long,90,full,30,0,0,0,,0,,,,
ETHUSDT,long,90,full,60,0,0,0,,0,,,,
ETHUSDT,long,90,full,240,0,0,0,,0,,,,
ETHUSDT,long,90,no_delta,15,0,0,0,,0,,,,
ETHUSDT,long,90,no_delta,30,0,0,0,,0,,,,
ETHUSDT,long,90,no_delta,60,0,0,0,,0,,,,
ETHUSDT,long,90,no_delta,240,0,0,0,,0,,,,
ETHUSDT,long,90,no_oi,15,0,0,0,,0,,,,
ETHUSDT,long,90,no_oi,30,0,0,0,,0,,,,
ETHUSDT,long,90,no_oi,60,0,0,0,,0,,,,
ETHUSDT,long,90,no_oi,240,0,0,0,,0,,,,
ETHUSDT,long,90,no_delta_oi,15,0,0,0,,0,,,,
ETHUSDT,long,90,no_delta_oi,30,0,0,0,,0,,,,
ETHUSDT,long,90,no_delta_oi,60,0,0,0,,0,,,,
ETHUSDT,long,90,no_delta_oi,240,0,0,0,,0,,,,
ETHUSDT,short,50,full,15,7,0,7,-0.025119008195870336,7,-0.025119008195870336,0.009880434828011375,0.5714285714285714,0.6448129944895067
ETHUSDT,short,50,full,30,7,0,7,-0.15847184595948205,7,-0.15847184595948205,-0.18137430302057822,0.14285714285714285,0.13153513580708273
