policy,threshold,level_type,period,recorded,evaluated,excluded,mean_pct,median_pct,win_rate,profit_factor,sum_equal_notional_pct,avg_mae_pct,avg_mfe_pct,contributing_days,best_day,mean_without_best_day_pct
score_rejected_by_level,50,prior_4h,all,19,19,0,0.2637254303186149,0.1327049538257442,0.5789473684210527,2.0361706057849314,5.010783176053683,-0.559016098960539,0.988034544559721,11,2026-09-18,0.09536356220483927
score_rejected_by_level,50,prior_4h,first_half,10,10,0,-0.19496862167119644,-0.007640113423081796,0.5,0.4304375602188524,-1.9496862167119646,-0.6072595386408297,0.41007396436304466,6,2026-09-10,-0.2313767967264121
score_rejected_by_level,50,prior_4h,second_half,9,9,0,0.7733854880850719,0.7974450991909389,0.6666666666666666,5.926939120120259,6.960469392765647,-0.5054122770935495,1.6302129670004724,5,2026-09-18,0.5792505353315655
score_context_available,50,any,all,15,15,0,0.4483826947415915,0.33384322144419454,0.6666666666666666,3.1727115120081493,6.725740421123873,-0.5033988724774688,1.1311915450797594,8,2026-09-18,0.2700645200289682
score_context_available,50,any,first_half,7,7,0,-0.1719285942626497,0.1327049538257442,0.5714285714285714,0.5461205816816851,-1.203500159838548,-0.6179987057910182,0.41040794859566226,4,2026-09-10,-0.22270085227738204
score_context_available,50,any,second_half,8,8,0,0.9911550726203026,0.8599503668725507,0.75,18.86002354561704,7.9292405809624205,-0.4031240183281132,1.7618771920033445,4,2026-09-18,0.8888548800372332
score_plus_level,50,any,all,0,0,0,,,,,0,,,0,,
score_plus_level,50,any,first_half,0,0,0,,,,,0,,,0,,
score_plus_level,50,any,second_half,0,0,0,,,,,0,,,0,,
score_rejected_by_level,50,any,all,15,15,0,0.4483826947415915,0.33384322144419454,0.6666666666666666,3.1727115120081493,6.725740421123873,-0.5033988724774688,1.1311915450797594,8,2026-09-18,0.2700645200289682
score_rejected_by_level,50,any,first_half,7,7,0,-0.1719285942626497,0.1327049538257442,0.5714285714285714,0.5461205816816851,-1.203500159838548,-0.6179987057910182,0.41040794859566226,4,2026-09-10,-0.22270085227738204
score_rejected_by_level,50,any,second_half,8,8,0,0.9911550726203026,0.8599503668725507,0.75,18.86002354561704,7.9292405809624205,-0.4031240183281132,1.7618771920033445,4,2026-09-18,0.8888548800372332
score_only,60,none,all,23,22,1,0.16931156027168073,0.16834286354827432,0.5909090909090909,1.9178477142175816,3.724854325976976,-0.472651735790835,0.8316314567185098,12,2026-09-21,0.02371516016506682
score_only,60,none,first_half,7,7,0,0.016504281070521615,-0.023605319090105215,0.42857142857142855,1.1124173505230728,0.1155299674936513,-0.3449862884962581,0.5201264038826624,6,2026-09-13,-0.08748313309633722
score_only,60,none,second_half,16,15,1,0.24062162389888833,0.2595267422067372,0.6666666666666666,2.190975773098583,3.609324358483325,-0.5322289445283043,0.9770004813752386,6,2026-09-21,0.028303901407050133
score_context_available,60,prior_day,all,11,11,0,0.2652542896936847,0.06054121885562325,0.5454545454545454,2.5072579682098666,2.9177971866305317,-0.35658248703404466,0.994584646829228,7,2026-09-21,0.12836344151201173
score_context_available,60,prior_day,first_half,4,4,0,0.15173012282173948,0.018467949882759016,0.5,7.453203178402183,0.6069204912869579,-0.07795843191298613,0.6046664936265767,4,2026-09-13,-0.011169424928238914
score_context_available,60,prior_day,second_half,7,7,0,0.3301252421919391,0.4220146453643193,0.5714285714285714,2.2546962178503502,2.3108766953435738,-0.5157962328175066,1.2173950200878858,3,2026-09-21,0.10967009646422951
score_plus_level,60,prior_day,all,0,0,0,,,,,0,,,0,,
score_plus_level,60,prior_day,first_half,0,0,0,,,,,0,,,0,,
score_plus_level,60,prior_day,second_half,0,0,0,,,,,0,,,0,,
score_rejected_by_level,60,prior_day,all,11,11,0,0.2652542896936847,0.06054121885562325,0.5454545454545454,2.5072579682098666,2.9177971866305317,-0.35658248703404466,0.994584646829228,7,2026-09-21,0.12836344151201173
score_rejected_by_level,60,prior_day,first_half,4,4,0,0.15173012282173948,0.018467949882759016,0.5,7.453203178402183,0.6069204912869579,-0.07795843191298613,0.6046664936265767,4,2026-09-13,-0.011169424928238914
score_rejected_by_level,60,prior_day,second_half,7,7,0,0.3301252421919391,0.4220146453643193,0.5714285714285714,2.2546962178503502,2.3108766953435738,-0.5157962328175066,1.2173950200878858,3,2026-09-21,0.10967009646422951
score_context_available,60,prior_1h,all,14,14,0,0.17331476163123036,0.018467949882759016,0.5,1.8455940528328838,2.426406662837225,-0.4303912606568824,0.868760711985274,9,2026-09-21,0.055323370817899904
score_context_available,60,prior_1h,first_half,7,7,0,0.016504281070521615,-0.023605319090105215,0.42857142857142855,1.1124173505230728,0.1155299674936513,-0.3449862884962581,0.5201264038826624,6,2026-09-13,-0.08748313309633722
score_context_available,60,prior_1h,second_half,7,7,0,0.3301252421919391,0.4220146453643193,0.5714285714285714,2.2546962178503502,2.3108766953435738,-0.5157962328175066,1.2173950200878858,3,2026-09-21,0.10967009646422951
score_plus_level,60,prior_1h,all,0,0,0,,,,,0,,,0,,
score_plus_level,60,prior_1h,first_half,0,0,0,,,,,0,,,0,,
score_plus_level,60,prior_1h,second_half,0,0,0,,,,,0,,,0,,
score_rejected_by_level,60,prior_1h,all,14,14,0,0.17331476163123036,0.018467949882759016,0.5,1.8455940528328838,2.426406662837225,-0.4303912606568824,0.868760711985274,9,2026-09-21,0.055323370817899904
score_rejected_by_level,60,prior_1h,first_half,7,7,0,0.016504281070521615,-0.023605319090105215,0.42857142857142855,1.1124173505230728,0.1155299674936513,-0.3449862884962581,0.5201264038826624,6,2026-09-13,-0.08748313309633722
score_rejected_by_level,60,prior_1h,second_half,7,7,0,0.3301252421919391,0.4220146453643193,0.5714285714285714,2.2546962178503502,2.3108766953435738,-0.5157962328175066,1.2173950200878858,3,2026-09-21,0.10967009646422951
score_context_available,60,prior_4h,all,14,14,0,0.17331476163123036,0.018467949882759016,0.5,1.8455940528328838,2.426406662837225,-0.4303912606568824,0.868760711985274,9,2026-09-21,0.055323370817899904
